first_name,last_name,gender,Age_category,past_3_years_bike_related_purchases_categories,cluster,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,postcode,state,property_valuation
Chickie,Brister,Male,Above 64,81-90,Cat_2,General Manager,Manufacturing,Mass Customer,N,Yes,14,4500,QLD,6
Morly,Genery,Male,45-54,61-70,Cat_1,Structural Engineer,Property,Mass Customer,N,No,16,2113,NSW,11
Ardelis,Forrester,Female,45-54,Below 10,Cat_2,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,3505,VIC,5
Lucine,Stutt,Female,35-44,61-70,Cat_2,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,4814,QLD,1
Melinda,Hadlee,Female,55-64,31-40,Cat_1,Financial Analyst,Financial Services,Affluent Customer,N,No,19,2093,NSW,9
Druci,Brandli,Female,Above 64,31-40,Cat_2,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,4075,QLD,7
Rutledge,Hallt,Male,45-54,21-30,Cat_1,Compensation Analyst,Financial Services,Mass Customer,N,No,8,2620,NSW,7
Nancie,Vian,Female,45-54,71-80,Cat_2,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,4814,QLD,5
Duff,Karlowicz,Male,45-54,41-50,Cat_1,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,2200,NSW,10
Barthel,Docket,Male,35-44,71-80,Cat_2,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,4151,QLD,5
Rockwell,Matson,Male,25-34,Above 90,Cat_2,Programmer Analyst I,Retail,High Net Worth,N,No,3,4573,QLD,6
Wheeler,Winward,Male,18-24,41-50,Cat_2,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,3216,VIC,8
Olag,,Male,25-34,51-60,Cat_1,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,2032,NSW,11
Melba,Spellacy,Female,45-54,31-40,Cat_1,VP Marketing,Health,Mass Customer,N,No,4,2232,NSW,10
Mandie,Feares,Female,55-64,31-40,Cat_2,Clinical Specialist,Health,Mass Customer,N,No,10,4053,QLD,8
Dukie,Swire,Male,Above 64,81-90,Cat_1,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,5,2500,NSW,8
Marcelia,Monkleigh,Female,25-34,61-70,Cat_2,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,4051,QLD,6
Winnifred,Beswetherick,Female,45-54,81-90,Cat_2,Actuary,Financial Services,Mass Customer,N,No,14,3040,VIC,10
Odilia,Quick,Female,Above 64,61-70,Cat_1,General Manager,Manufacturing,Affluent Customer,N,Yes,11,2222,NSW,11
Karly,Willavize,Female,Above 64,Below 10,Cat_1,Internal Auditor,Manufacturing,High Net Worth,N,No,12,2190,NSW,10
Teddie,Burchill,Male,45-54,11-20,Cat_1,Programmer I,Manufacturing,Mass Customer,N,Yes,13,2161,NSW,9
Gaston,Dallaghan,Male,25-34,41-50,Cat_1,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,2783,NSW,7
Otis,Ottey,Male,25-34,21-30,Cat_2,Quality Engineer,Financial Services,Mass Customer,N,No,3,4744,QLD,4
Tabbatha,Averill,Female,45-54,Below 10,Cat_1,Quality Control Specialist,Manufacturing,Affluent Customer,N,Yes,13,2257,NSW,8
Brena,Schnitter,Female,35-44,71-80,Cat_2,Account Executive,Manufacturing,Mass Customer,N,No,4,4703,QLD,5
Rourke,Gillbard,Male,Above 64,11-20,Cat_2,Account Coordinator,Property,Mass Customer,N,No,17,4817,QLD,4
Dyane,Burwell,Female,Above 64,11-20,Cat_1,Engineer II,Retail,Mass Customer,N,Yes,7,2640,NSW,2
Claudine,Barstowk,Female,55-64,71-80,Cat_2,Nurse,Property,High Net Worth,N,Yes,5,4000,QLD,11
Blinnie,Roze,Female,55-64,81-90,Cat_2,Librarian,Entertainment,High Net Worth,N,No,11,4171,QLD,7
Rhona,De Freyne,Female,55-64,41-50,Cat_2,Social Worker,Health,High Net Worth,N,No,8,3056,VIC,10
Sharron,Claibourn,Female,35-44,61-70,Cat_1,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,2280,NSW,8
Brien,Heaton,Male,Above 64,61-70,Cat_1,Clinical Specialist,Health,Mass Customer,N,Yes,12,2470,NSW,2
Sybilla,MacCart,Female,35-44,81-90,Cat_1,Paralegal,Financial Services,Mass Customer,N,Yes,7,2620,NSW,7
Mikel,McNess,Male,35-44,71-80,Cat_2,Nurse,Financial Services,Mass Customer,N,No,9,4122,QLD,9
Maisie,Maddox,Female,45-54,21-30,Cat_2,Assistant Manager,Financial Services,Affluent Customer,N,No,20,3226,VIC,9
Arleen,Casbolt,Female,45-54,41-50,Cat_2,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,4817,QLD,1
Farlie,Petford,Male,55-64,71-80,Cat_1,Recruiting Manager,Manufacturing,High Net Worth,N,No,13,2017,NSW,10
Mitchell,MacCague,Male,35-44,51-60,Cat_2,Chemical Engineer,Manufacturing,Mass Customer,N,No,15,3190,VIC,8
Garik,Whitwell,Male,Above 64,41-50,Cat_2,Account Coordinator,Property,Mass Customer,N,Yes,13,3280,VIC,2
Antonin,Britt,Male,25-34,61-70,Cat_1,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,8,2160,NSW,9
Vinny,Incogna,Female,Above 64,71-80,Cat_1,Social Worker,Health,High Net Worth,N,No,10,2756,NSW,8
Colene,Fishleigh,Female,35-44,21-30,Cat_2,Design Engineer,Financial Services,Mass Customer,N,No,3,3149,VIC,10
Neile,Argent,Female,Above 64,71-80,Cat_1,Sales Representative,Retail,Mass Customer,N,No,8,2024,NSW,10
Corinna,Suggey,Female,55-64,51-60,Cat_1,Design Engineer,Manufacturing,Affluent Customer,N,No,9,2761,NSW,8
Gipsy,Ewestace,Female,Above 64,21-30,Cat_1,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,2034,NSW,12
Sheena,Kybbye,Female,Above 64,11-20,Cat_2,Paralegal,Financial Services,Affluent Customer,N,Yes,19,4852,QLD,1
Jobina,Gobourn,Female,25-34,81-90,Cat_2,VP Quality Control,Financial Services,High Net Worth,N,Yes,14,4305,QLD,4
Gale,Disbrow,Female,45-54,51-60,Cat_2,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,3741,VIC,7
Thaxter,Kingsbury,Male,Above 64,11-20,Cat_1,Product Engineer,Argiculture,Mass Customer,N,No,20,2067,NSW,12
Heinrick,Shilstone,Male,45-54,51-60,Cat_2,Chemical Engineer,Manufacturing,Affluent Customer,N,No,10,3174,VIC,8
Taylor,Steuhlmeyer,Male,18-24,61-70,Cat_2,Paralegal,Financial Services,Affluent Customer,N,Yes,5,4017,QLD,8
Griswold,Kelsall,Male,25-34,51-60,Cat_2,Social Worker,Health,High Net Worth,N,Yes,11,3805,VIC,7
Odessa,Mc Andrew,Female,35-44,Above 90,Cat_1,Account Coordinator,Property,Mass Customer,N,No,8,2232,NSW,10
Lavena,Seekings,Female,25-34,81-90,Cat_2,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,3166,VIC,10
Martelle,Tuppeny,Female,35-44,51-60,Cat_1,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,2226,NSW,10
Briant,Ladley,Male,35-44,71-80,Cat_1,Recruiter,Argiculture,Mass Customer,N,No,12,2750,NSW,8
Marylou,Kirkup,Female,45-54,51-60,Cat_2,VP Product Management,Manufacturing,Mass Customer,N,No,14,3196,VIC,9
Whittaker,,Male,55-64,61-70,Cat_2,Media Manager III,Health,Mass Customer,N,Yes,8,3156,VIC,5
Lorrie,Antonelli,Male,35-44,41-50,Cat_1,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,2257,NSW,7
Jedediah,Kedie,Male,45-54,31-40,Cat_1,Developer I,Argiculture,Mass Customer,N,Yes,9,2763,NSW,9
Kaine,Smallcombe,Male,Above 64,51-60,Cat_1,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,2072,NSW,10
Loise,Iltchev,Female,55-64,61-70,Cat_2,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,4504,QLD,6
Cristen,Maroney,Female,18-24,21-30,Cat_2,Accountant IV,IT,High Net Worth,N,Yes,7,4214,QLD,7
Dorothy,Barnardo,Female,35-44,51-60,Cat_1,Human Resources Manager,Retail,High Net Worth,N,No,12,2168,NSW,8
